id,name,capacity,grass,city,state
5869,LeGrand Stadium at 1st Community Credit Union Field,5670,,San Angelo,TX
36,Leonidoff Field,5000,False,Poughkeepsie,NY
4855,Leslie C. Quick Jr. Stadium,4000,,Chester,PA
4738,Levi's Stadium,68500,False,Santa Clara,CA
5896,Lewis C. Everett Stadium,1850,,Farmville,VA
5890,Lewis Field Stadium,6362,,Hays,KS
3805,Liberty Bowl Memorial Stadium,58325,False,Memphis,TN
3806,Lincoln Financial Field,69879,False,Philadelphia,PA
3807,Lincoln Park Stadium,0,,Forest Grove,OR
3808,Lincoln University Stadium,5000,,Lincoln University,PA
5824,Lions Stadium,6000,,Ewing,NJ
5123,Little Giant Stadium,3500,,Crawfordsville,IN
5932,Lloyd L. Thornton Stadium,3000,,Maryville,TN
477,Los Angeles Memorial Coliseum,77500,True,Los Angeles,CA
3809,Louis Crews Stadium,21000,False,Huntsville,AL
3811,Lubbers Stadium,10444,False,Allendale,MI
3812,Lucas Oil Stadium,63000,False,Indianapolis,IN
6231,Lucy Laney Stadium,9000,,Augusta,GA
6222,Lumpkins Stadium,9500,,Waxahachie,TX
3813,"Luther ""Nick"" Jeralds Stadium",5520,,Fayetteville,NC
5877,Lyle Hare Stadium,4200,,Spearfish,SD
5928,Macalester Stadium,4000,,Saint Paul,MN
5793,Macholtz Stadium,4300,,Anderson,IN
3816,Mackay Stadium,27000,False,Reno,NV
3817,Malone Stadium,30427,False,Monroe,LA
3818,Malosky Stadium,0,,Duluth,MN
6083,Mangelsdorf Field,1500,,Dallas,PA
3779,Manning Field at John L. Guidry Stadium,10500,False,Thibodaux,LA
5860,Mapleleaf Athletic Complex,5000,,Mount Pleasant,IA
4223,Marlins Park,34000,True,Miami,FL
3820,Martin Stadium,32952,False,Pullman,WA
5883,Marv Kay Stadium at Campbell Field,4000,,Golden,CO
3665,Maryland Stadium,51802,False,College Park,MD
4426,Matador Stadium,0,,Seguin,TX
5119,Maxwell Field,4000,,Mcminnville,OR
5844,McAfee Field,1200,,Hancock,MI
5783,McArthur Field,3000,,Monmouth,OR
5906,McBride Field,1762,,Gambier,OH
5907,McCarthy Stadium (Wilkes Barre),3000,,Wilkes Barre Township,PA
4441,McConnell Family Stadium,2500,,Erie,PA
6149,McCulloch Stadium,7000,,Salem,OR
5115,McCully Stadium,4100,,Wheaton,IL
6308,McKinney ISD Stadium,12000,,Mckinney,TX
4727,McLane Stadium,45140,False,Waco,TX
4749,McPherson Memorial Stadium,7000,,Xenia,OH
3638,MDU Resources Community Bowl,6000,,Bismarck,ND
3824,Meade Stadium,8000,True,Kingston,RI
6046,Meares Stadium,5000,,Mars Hill,NC
3826,Memorial Field,11000,False,Hanover,NH
6146,Memorial Field (PA),4500,,New Wilmington,PA
3829,Memorial Stadium,12764,False,Terre Haute,IN
3834,Memorial Stadium,85458,False,Lincoln,NE
3833,Memorial Stadium,47000,False,Lawrence,KS
3836,Memorial Stadium,81500,True,Clemson,SC
3832,Memorial Stadium,60670,False,Champaign,IL
3830,Memorial Stadium,52656,False,Bloomington,IN
4437,"Memorial Stadium (Clarion, PA)",5000,,Clarion,PA
4762,Memorial Stadium (Commerce TX),11582,,Commerce,TX
7185,"Memorial Stadium (El Dorado, AR)",7030,,El Dorado,AR
3837,"Memorial Stadium (Selma, AL)",0,,Selma,AL
3827,"Memorial Stadium (Stephenville, TX)",12000,,Stephenville,TX
6035,"Memorial Stadium (Wayne, NE)",2500,,Wayne,NE
6101,"Memorial Stadium (Westerville, OH)",2400,,Westerville,OH
