team,stat_name,stat_value,season
Memphis,totalYards,4980,2020
Oklahoma State,kickReturnYards,467,2020
Colorado State,kickReturnTDs,0,2020
Rice,totalYards,1677,2020
Houston,kickReturnTDs,1,2020
Georgia,totalYards,4238,2020
Boston College,passingTDs,23,2020
San Diego State,kickReturnTDs,1,2020
Middle Tennessee,passCompletions,205,2020
Tennessee,fourthDowns,24,2020
Virginia,fourthDownConversions,16,2020
Texas A&M,interceptionYards,116,2020
Washington,thirdDowns,54,2020
Nebraska,turnovers,18,2020
Clemson,kickReturns,19,2020
Western Kentucky,possessionTime,20839,2020
SMU,rushingTDs,24,2020
Louisiana,thirdDowns,138,2020
Vanderbilt,passesIntercepted,2,2020
Boise State,kickReturnTDs,2,2020
Stanford,fourthDownConversions,6,2020
Stanford,kickReturns,21,2020
Navy,fourthDownConversions,20,2020
Arizona State,passCompletions,51,2020
Wyoming,rushingAttempts,275,2020
Wake Forest,rushingAttempts,378,2020
Nevada,passAttempts,357,2020
Bowling Green,passCompletions,54,2020
Kansas,rushingAttempts,354,2020
Miami,interceptionTDs,0,2020
Air Force,kickReturnTDs,0,2020
Ole Miss,rushingAttempts,461,2020
Rice,games,5,2020
Duke,thirdDowns,168,2020
East Carolina,passAttempts,293,2020
Minnesota,thirdDownConversions,41,2020
East Carolina,interceptionTDs,1,2020
Oklahoma State,games,11,2020
Louisiana,fumblesLost,6,2020
Northern Illinois,rushingTDs,7,2020
Purdue,penaltyYards,360,2020
Fresno State,fourthDowns,13,2020
Indiana,passCompletions,167,2020
Oregon,fourthDowns,5,2020
Fresno State,rushingAttempts,216,2020
Nevada,rushingTDs,7,2020
Appalachian State,thirdDowns,162,2020
Troy,passCompletions,299,2020
Georgia,interceptionYards,185,2020
UAB,totalYards,3612,2020
UNLV,fourthDowns,15,2020
Texas A&M,puntReturns,16,2020
Coastal Carolina,fumblesLost,7,2020
Appalachian State,penalties,88,2020
Texas A&M,thirdDownConversions,73,2020
San José State,thirdDownConversions,38,2020
South Florida,passesIntercepted,10,2020
Washington State,firstDowns,78,2020
Ball State,interceptions,6,2020
Washington State,kickReturns,10,2020
Miami,rushingTDs,18,2020
Ohio State,passingTDs,22,2020
Washington State,penalties,21,2020
Tennessee,thirdDowns,128,2020
Notre Dame,fourthDowns,17,2020
