id,season,home_id,home_team,away_id,away_team
401431483,2022,2568,Southern Arkansas,200,Southern Nazarene
401431859,2022,2695,West Alabama,2401,Mississippi College
401431540,2022,125,Grand Valley State,131,Wayne State (MI)
401431477,2022,199,Southeastern Oklahoma,2888,Ouachita Baptist
401431463,2022,2271,Henderson State,319,Oklahoma Baptist
401438601,2022,2105,Carson-Newman,2842,UVA-Wise
401432441,2022,568,Minot State,559,University of Mary
401431987,2022,2224,Findlay,2682,Walsh
401431831,2022,2170,Delta State,2698,West Georgia
401431943,2022,2876,Lincoln (MO),2214,Emporia State
401433068,2022,2001,Adams State,2069,Black Hills State
401426369,2022,2572,Southern Mississippi,2247,Georgia State
401422971,2022,2535,Samford,2678,VMI
401426600,2022,2348,Louisiana Tech,2393,Middle Tennessee
401424945,2022,2755,Grambling,2029,Arkansas-Pine Bluff
401418835,2022,2287,Illinois State,2754,Youngstown State
401405132,2022,84,Indiana,213,Penn State
401415252,2022,328,Utah State,167,New Mexico
401424444,2022,257,Richmond,160,New Hampshire
401426602,2022,5,UAB,2636,UT San Antonio
401404105,2022,66,Iowa State,277,West Virginia
401405127,2022,356,Illinois,127,Michigan State
401411155,2022,221,Pittsburgh,183,Syracuse
401404032,2022,24,Stanford,265,Washington State
401404106,2022,2305,Kansas,197,Oklahoma State
401404030,2022,38,Colorado,2483,Oregon
401403933,2022,61,Georgia,2633,Tennessee
401415651,2022,235,Memphis,2116,UCF
401462228,2022,2320,Lamar,2545,Southeastern Louisiana
401426365,2022,290,Georgia Southern,6,South Alabama
401413345,2022,2464,Northern Arizona,147,Montana State
401435179,2022,2508,Puget Sound,2486,Pacific Lutheran
401433102,2022,2570,Colorado State-Pueblo,613,South Dakota Mines
401403932,2022,8,Arkansas,2335,Liberty
401431874,2022,101784,Erskine,2213,Emory & Henry
401415650,2022,2132,Cincinnati,2426,Navy
401431577,2022,437,Lake Erie College,308,Ashland
401423160,2022,2413,Morehead State,2368,Marist
401430714,2022,2736,Winston-Salem,2220,Fayetteville State
401421100,2022,301,San Diego,2086,Butler
401432661,2022,205,Pacific (OR),2721,Whitworth
401426599,2022,249,North Texas,2229,Florida International
401423454,2022,2065,Bethune-Cookman,2011,Alabama State
401432829,2022,17,Claremont,29,Redlands
401431608,2022,2848,Western Oregon,2829,Simon Fraser
401418642,2022,2198,Eastern Kentucky,2110,Central Arkansas
401420835,2022,2460,Northern Iowa,2571,South Dakota State
401430737,2022,2823,Northwestern Oklahoma State,2033,Arkansas Tech
401431590,2022,2316,Kentucky Wesleyan,2838,Tiffin
401441337,2022,2542,Savannah State,2323,Lane
401415181,2022,2502,Portland State,2458,Northern Colorado
401426367,2022,309,Louisiana,2653,Troy
401418635,2022,2453,North Alabama,2046,Austin Peay
401426368,2022,2433,Louisiana Monroe,326,Texas State
401423951,2022,50,Florida A&M,2582,Southern
401439560,2022,291,Methodist,2256,Greensboro
401425426,2022,2634,Tennessee State,2546,Southeast Missouri State
401432140,2022,2699,West Liberty,2707,WV State
401404107,2022,2306,Kansas State,251,Texas
401413263,2022,302,UC Davis,304,Idaho State
401415250,2022,68,Boise State,252,BYU
401431853,2022,2673,Valdosta State,110242,West Florida
401431914,2022,2704,West Texas A&M,2201,Eastern New Mexico
401431910,2022,110243,University of Texas of the Permian Basin,2703,Western New Mexico
401415652,2022,2567,SMU,248,Houston
401415254,2022,21,San Diego State,2439,UNLV
401432816,2022,418,Hendrix College,2519,Rhodes
401403934,2022,99,LSU,333,Alabama
401423923,2022,2640,Texas Southern,2296,Jackson State
401431599,2022,2025,Angelo State,2120,Central Washington
401404027,2022,254,Utah,12,Arizona
401411153,2022,2390,Miami,52,Florida State
401404130,2022,87,Notre Dame,228,Clemson
401405133,2022,164,Rutgers,130,Michigan
401411152,2022,97,Louisville,256,James Madison
401403938,2022,238,Vanderbilt,2579,South Carolina
401403935,2022,344,Mississippi State,2,Auburn
401432644,2022,415,George Fox University,2333,Lewis & Clark
401462519,2022,2627,Tarleton State,2000,Abilene Christian
401418807,2022,2377,McNeese,2197,Eastern Illinois
401431899,2022,2658,Texas A&M-Kingsville,2395,Midwestern State
401413232,2022,149,Montana,13,Cal Poly
401473448,2022,3101,Utah Tech,253,Southern Utah
401411154,2022,152,NC State,154,Wake Forest
401439558,2022,2923,Pomona-Pitzer,2850,Whittier
401439553,2022,411,Chapman,2094,Cal Lutheran
401415253,2022,278,Fresno State,62,Hawai'i
401404028,2022,9,Arizona State,26,UCLA
401404029,2022,30,USC,25,California
401415251,2022,23,San José State,36,Colorado State
401416637,2022,2006,Akron,2199,Eastern Michigan
401416638,2022,193,Miami (OH),195,Ohio
401416636,2022,2649,Toledo,2050,Ball State
401416641,2022,189,Bowling Green,2309,Kent State
401416640,2022,2117,Central Michigan,2084,Buffalo
401416639,2022,2711,Western Michigan,2459,Northern Illinois
401415653,2022,235,Memphis,202,Tulsa
401426370,2022,309,Louisiana,290,Georgia Southern
401450200,2022,2442,College of New Jersey,2871,Kean
401431066,2022,2827,Rowan,111675,University of New England
401415654,2022,2132,Cincinnati,151,East Carolina
401425458,2022,2502,Portland State,16,Sacramento State
401404033,2022,30,USC,38,Colorado
401415259,2022,2439,UNLV,278,Fresno State
401432391,2022,2022,American International,2830,St. Anselm
401425429,2022,2115,Central Connecticut,2771,Merrimack
401423431,2022,2598,St Francis (PA),2184,Duquesne
401423423,2022,2681,Wagner,2529,Sacred Heart
401404112,2022,277,West Virginia,201,Oklahoma
401431169,2022,18,Bridgewater State,110,Mass Maritime
401421110,2022,2368,Marist,2674,Valparaiso
401424446,2022,399,Albany,311,Maine
401432559,2022,175,Ithaca,2782,SUNY Cortland
401415194,2022,225,Brown,171,Columbia
401411163,2022,258,Virginia,221,Pittsburgh
401431541,2022,110254,Davenport,125,Grand Valley State
401433052,2022,367,Gannon,2559,Shippensburg
401431159,2022,2969,Misericordia,2354,Lycoming
401433005,2022,2134,Clarion,223,West Chester
401431820,2022,437,Lake Erie College,128,Northern Michigan
401415656,2022,58,South Florida,2567,SMU
401405134,2022,356,Illinois,2509,Purdue
401404156,2022,41,Connecticut,2335,Liberty
401403945,2022,2633,Tennessee,142,Missouri
401432997,2022,2858,California (PA),2188,East Stroudsburg
401431824,2022,2838,Tiffin,2224,Findlay
401403942,2022,96,Kentucky,238,Vanderbilt
401456159,2022,2967,Framingham State,402,Worcester State College
401445806,2022,348,Hamilton,121,Bates College
401432109,2022,2128,Charleston (WV),2707,WV State
401432707,2022,2336,Limestone,2213,Emory & Henry
401444603,2022,2731,Williams,7,Amherst College
401423003,2022,2329,Lehigh,2142,Colgate
401432887,2022,2256,Greensboro,286,NC Wesleyan
401411159,2022,150,Duke,259,Virginia Tech
401403939,2022,8,Arkansas,99,LSU
401439545,2022,2749,Worcester Polytechnic,109,MIT
401433048,2022,2385,Mercyhurst,2974,Shepherd
401433036,2022,611,Seton Hill College,210,Millersville
401433029,2022,2205,Edinboro,209,Lock Haven
401455580,2022,2487,Pace,2060,Bentley
401431058,2022,2776,Salve Regina,2280,Husson
401431049,2022,2884,Nichols,40,Curry
401432679,2022,2302,John Carroll,359,Otterbein
401435139,2022,2108,Catholic University,81,Springfield
401437192,2022,2583,Southern Connecticut State,2441,New Haven
401437207,2022,2951,SUNY Maritime,3162,Alfred State College
401435130,2022,2977,Trinity (CT),336,Wesleyan
401433404,2022,2528,Rensselaer,237,Union
401431177,2022,2972,Plymouth State,379,UMass Dartmouth
401431038,2022,118,Johns Hopkins,2700,McDaniel College
401432537,2022,323,Moravian,2422,Muhlenberg
401438648,2022,388,Lebanon Valley,2015,Albright
401441950,2022,110438,Dean College,122774,Keystone
401444124,2022,398,Wilkes,247,King's College (PA)
401438656,2022,2909,Westfield State,114,Fitchburg State
401435147,2022,2383,Merchant Marine,2557,Coast Guard
401428200,2022,2448,North Carolina A&T,2127,Charleston Southern
401431402,2022,43,Yale,163,Princeton
401443323,2022,107,Holy Cross,2803,Bryant
401405139,2022,194,Ohio State,84,Indiana
401405138,2022,127,Michigan State,164,Rutgers
401404131,2022,2426,Navy,87,Notre Dame
401450191,2022,112,Tufts,2394,Middlebury
401503090,2022,2822,North Greenville,2698,West Georgia
401422985,2022,46,Georgetown,2083,Bucknell
401420819,2022,155,North Dakota,233,South Dakota
401432965,2022,389,Upper Iowa,2894,Sioux Falls
401432428,2022,3066,Concordia-St. Paul,568,Minot State
401433021,2022,215,Slippery Rock,2315,Kutztown
401431210,2022,126,Kalamazoo,2651,Trine
401441992,2022,112358,Long Island University,284,Stonehill
401432580,2022,2980,Ohio Wesleyan,2274,Hiram
401432627,2022,83,DePauw,89,Wabash College
401435091,2022,374,St. John Fisher,390,Utica
401432126,2022,2699,West Liberty,341,Frostburg State
401437004,2022,2248,Gettysburg,2234,Franklin & Marshall
401431193,2022,2800,Alma College,2790,Albion
401428195,2022,2097,Campbell,2241,Gardner-Webb
401422977,2022,2193,East Tennessee State,2717,Western Carolina
401426254,2022,47,Howard,2569,South Carolina State
401423416,2022,2900,St. Thomas (MN),56,Stetson
401430950,2022,2564,Simpson College,63,Buena Vista
401418790,2022,2534,Sam Houston State,2000,Abilene Christian
401430995,2022,2056,Belhaven College,2373,Maryville TN
401431273,2022,2891,Ripon,268,Lawrence
401432809,2022,2121,Centre,2398,Millsaps
401432843,2022,433,Westminster,509,Crown College
401432785,2022,2845,Waynesburg,2686,Washington & Jefferson
401432879,2022,2896,Southern Virginia,2913,Brevard College
401435121,2022,2746,Wittenberg,125974,Hilbert College
401435098,2022,174,Hobart,184,Rochester
401438674,2022,2258,Guilford,2079,Bridgewater (VA)
401441935,2022,216,Susquehanna,246,Juniata
401445171,2022,2779,St Lawrence,2085,Buffalo State
401445768,2022,3110,Morrisville State,173,Hartwick
